reg;naimko;regko;golofic;filial;dopof;vsego
Воронежская область;КБ «ЛОКО-Банк» (АО);2707;;;1;1
Воронежская область;АО «ОТП Банк»;2766;;;1;1
Воронежская область;АО «Банк ФИНАМ»;2799;;;1;1
Воронежская область;(АО «Банк „Агророс“);2860;;;1;1
Воронежская область;ПАО АКБ «АВАНГАРД»;2879;;;5;5
Воронежская область;АО «Экспобанк»;2998;;;1;1
Воронежская область;ПАО «Промсвязьбанк»;3251;;;11;11
Воронежская область;АО «Газэнергобанк»;3252;;;1;1
Воронежская область;Банк «ВБРР» (АО);3287;;;1;1
Воронежская область;АО «Райффайзенбанк»;3292;;;1;1
Воронежская область;АО «Кредит Европа Банк (Россия)»;3311;;;1;1
Воронежская область;АО «Россельхозбанк»;3349;;1;24;25
Воронежская область;КБ «Ренессанс Кредит» (ООО);3354;;;1;1
Воронежская область;АО «СМП Банк»;3368;;;2;2
Воронежская область;АО Банк «Национальный стандарт»;3421;;;1;1
Воронежская область;НКО «ИНКАХРАН» (АО);3454;;;1;1
Воронежская область;АО КБ «ЮНИСТРИМ»;3467;;;2;2
Ивановская область;ООО «ХКФ Банк»;316;;;1;1
Ивановская область;Банк ГПБ (АО);354;;;1;1
Ивановская область;АО «Почта Банк»;650;;;3;3
Ивановская область;ПАО «Совкомбанк»;963;;;5;5
Ивановская область;Банк ВТБ (ПАО);1000;;;6;6
Ивановская область;АО «АЛЬФА-БАНК»;1326;;;2;2
Ивановская область;ПАО Сбербанк;1481;;1;79;80
Ивановская область;АО КИБ «ЕВРОАЛЬЯНС»;1781;1;;6;7
Ивановская область;АКБ «ФОРА-БАНК» (АО);1885;;;3;3
Ивановская область;АО БАНК НБС;1949;1;;;1
Ивановская область;ПАО «НБД-Банк»;1966;;;1;1
Ивановская область;ПАО Банк «ФК Открытие»;2209;;;3;3
Ивановская область;ПАО РОСБАНК;2272;;;1;1
Ивановская область;АО «Банк Русский Стандарт»;2289;;;1;1
Ивановская область;ПАО АКБ «Металлинвестбанк»;2440;;;1;1
