polnnaim%sokrnaim%nomlicenz%datvid%inn%ogrn%adresurliz%telef%adressait%uchastzastrlic%uchastpravuchast
Акционерное общество «Негосударственный Пенсионный Фонд Сбербанка»%АО «НПФ Сбербанка»%41/2%16.06.2009%7725352740%1147799009160%115162, г. Москва, ул. Шаболовка, д. 31Г%(495) 785-38-87; 8-800-555-00-41%www.npfsberbanka.ru%Да%Да
Акционерное общество «Ханты-Мансийский негосударственный пенсионный фонд»%АО «Ханты-Мансийский НПФ»%56/2%04.05.2006%8601999494%1148600001065%628011, Ханты-Мансийский автономный округ - Югра, г. Ханты-Мансийск, ул. Комсомольская, 59А%8-800-100-09-10; (3467) 35-44-69; (3467) 35-44-02; (3467) 35-44-06%www.hmnpf.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «Достойное БУДУЩЕЕ»%АО «НПФ «Достойное БУДУЩЕЕ»%67/2%16.04.2004%7704300652%1147799011634%127051, г. Москва, Вн. тер. г. Муниципальный округ Мещанский, б-р Цветной, д.2%(495) 777-99-89; (495) 745-52-11; 8-800-700-80-20%https://www.dfnpf.ru/%Да%Да
Акционерное общество Межрегиональный негосударственный пенсионный фонд «БОЛЬШОЙ»%АО МНПФ «БОЛЬШОЙ»%78/2%26.04.2004%7727499177%1147799009962%127051, г. Москва, Вн. тер. г. Муниципальный округ Мещанский, б-р Цветной, д.2%8-800-505-52-25%www.bigpension.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «Телеком-Союз»%АО «НПФ «Телеком-Союз»%94/2%27.01.2009%7714323994%1147799009181%127051, г. Москва, Цветной бульвар, д. 2%(495) 937-27-47; 8-800-200-08-09%www.npfts.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «АПК-Фонд»%АО «НПФ «АПК-Фонд»%140/2%21.05.2004%7702395320%1157700020290%123112, г. Москва, Пресненская наб., д. 12, комн. 43-45, этаж 45%(495) 688-90-00%www.apk-fond.ru%Нет%Да
Акционерное общество «Негосударственный пенсионный фонд «Ростех»%АО «НПФ «Ростех»%169/2%02.08.2005%6321391646%1156313047087%119435, г. Москва, ул. Малая Пироговская, дом 18, стр. 1, пом. VI, ком. 14, офис 301%(8482) 38-89-17%www.rostecnpf.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «Авиаполис»%АО «НПФ «Авиаполис»%194/2%16.06.2009%7733334092%1187700022377%125424, г. Москва, Волоколамское шоссе, д. 73%(495) 780-34-52%www.npf-aviapolis.ru%Нет%Да
Акционерное общество Негосударственный пенсионный фонд «Атомгарант»%АО НПФ «Атомгарант»%202/2%15.03.2007%9709035592%1187700014150%109147, г. Москва, ул. Большая Андроньевская, д. 23, стр. 1%(495) 568-08-41, 8 (800) 301-15-89%www.npf-atom.ru%Нет%Да
Акционерное общество «Негосударственный пенсионный фонд ТРАДИЦИЯ»%АО «НПФ ТРАДИЦИЯ»%215/2%30.06.2009%7704445513%1177700017725%119034, г. Москва, Вн.тер.г. Муниципальный округ Хамовники, пер. Гагаринский, дом 25, Помещение II, этаж 1, комната 8%(495) 256-80-14; (495) 846-80-14%www.tradnpf.com%Нет%Да
Акционерное общество «Негосударственный пенсионный фонд «БЛАГОСОСТОЯНИЕ»%АО «НПФ «БЛАГОСОСТОЯНИЕ»%234/2%22.03.2005%7707424367%1187700022465%127006, г. Москва, ул. Малая Дмитровка, д. 10%(499) 262-62-64; (499) 262-29-61; (499) 262-33-36%www.npfb.ru%Нет%Да
Акционерное общество «Негосударственный пенсионный фонд «ВЭФ.Русские Фонды»%АО «НПФ «ВЭФ.Русские Фонды»%237/2%22.05.2007%5610163220%1145658026018%121151, вн.тер.г. муниципальный округ Дорогомилово, г. Москва, наб. Тараса Шевченко, дом 23А, этаж 19, помещ. I, комната 19%(3532) 44-10-51%www.doverie56.ru%Да%Да
Акционерное общество Негосударственный пенсионный фонд ВТБ Пенсионный фонд%АО НПФ ВТБ Пенсионный фонд%269/2%18.10.2007%7709445387%1147799014692%109147, г. Москва, ул. Воронцовская, д. 43, стр. 1%(495) 668-61-11%www.vtbnpf.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд ГАЗФОНД»%АО «НПФ ГАЗФОНД»%274/2%21.05.2004%7726445147%1187700022454%117556, г. Москва, б-р Симферопольский, д. 13%(495) 721-83-83; 8-800-700-83-83%www.gazfond.ru%Нет%Да
Акционерное общество «Национальный негосударственный пенсионный фонд»%АО «Национальный НПФ»%288/2%07.06.2007%7701100510%1147799010314%111123, г. Москва, ул. Плеханова, д. 4%(495) 223-27-53, (495) 223-27-54%www.nnpf.ru%Да%Да
Акционерное общество «Негосударственный Пенсионный Фонд «Социум»%АО «НПФ «Социум»%320/2%26.04.2004%7714324003%1147799013559%119017, г. Москва, Голиковский переулок, д. 7%(495) 272-03-55; (495) 728-72-35%www.npfsocium.ru%Да%Да
Акционерное общество «Межрегиональный негосударственный пенсионный фонд «АКВИЛОН»%АО «МНПФ «АКВИЛОН»%326/2%20.09.2005%7719047561%1147799013735%105318, г. Москва, ул. Ибрагимова, д. 15, корп. 2%(499) 973-72-60; 8-800-250-72-60%www.mnpf-akvilon.ru%Да%Да
Акционерное общество «Негосударственный Пенсионный Фонд «Транснефть»%АО «НПФ «Транснефть»%346/2%01.02.2007%9705044356%1157700011017%115054, г. Москва, вн.тер.г. Муниципальный округ Замоскворечье, ул. Щипок, д. 5%(499) 799-85-69%www.npf-transneft.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «Оборонно-промышленный фонд им. В.В. Ливанова»%АО «НПФ «ОПФ»%347/2%26.10.2006%7718003106%1147799019125%127051, г. Москва, вн.тер.г. муниципальный округ Мещанский, б-р Цветной, д. 2%8 800 505-8-753%www.npfopf.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «ВЭФ.Жизнь»%АО «НПФ «ВЭФ.Жизнь»%350/2%30.06.2009%7728329636%1167700051727%121151, г. Москва, Набережная Тараса Шевченко, д. 23 А, эт. 19, пом. I, комн. 26, 27%(495) 913-30-55%www.npfveb.ru%Нет%Да
Акционерное общество «Негосударственный пенсионный фонд «Первый промышленный альянс»%АО «НПФ «Первый промышленный альянс»%359/2%09.04.2009%1655319199%1151600000210%420097, Республика Татарстан (Татарстан), г. Казань, ул. Вишневского, д. 2Е%(843) 264-44-09%www.ppafond.ru%Да%Да
Негосударственный пенсионный фонд «Профессиональный» (Акционерное общество)%НПФ «Профессиональный» (АО)%360/2%21.05.2004%7701109908%1147799010325%101000, г. Москва, ул. Чаплыгина, 11, этаж 5%(495) 775-07-12; (495) 003-36-75.%www.npfprof.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «Корабел»%АО «НПФ «Корабел»%368/2%04.08.2009%7838082396%1187800005018%191119, Город Санкт-Петербург, г. Санкт-Петербург, Набережная Обводного канала, д. 93А%(812) 416-56-40%www.npf-korabel.spb.ru%Нет%Да
Акционерное общество «Негосударственный пенсионный фонд «Волга-Капитал»%АО «НПФ «Волга-Капитал»%377/2%15.03.2007%1660240681%1151600000980%420061, Республика Татарстан (Татарстан), г. Казань, ул. Н. Ершова, д. 55Е%(8432) 72-25-25; (8432) 73-52-53; (8432) 73-20-80%www.volga-capital.ru%Да%Да
Акционерное общество «Негосударственный пенсионный фонд «ПЕРСПЕКТИВА»%АО «НПФ «ПЕРСПЕКТИВА»%378/2%23.11.2004%6686058813%1156600000182%620014, Свердловская область, г. Екатеринбург, ул. Бориса Ельцина, стр. 3/2, офис 502%(343) 285-09-29%www.npfond.ru%Да%Да
Акционерное общество Негосударственный пенсионный фонд «Пенсионные решения»%АО НПФ «Пенсионные решения»%383/2%16.06.2009%9725000621%1187700021948%115162, вн.тер.г. Муниципальный округ Донской, г. Москва, улица Шаболовка, д. 31Г%(495) 933-47-66 (495) 411-71-14%www.npfpens.ru%Нет%Да
Акционерное общество Негосударственный пенсионный фонд «Альянс»%АО НПФ «Альянс»%415%16.04.2004%7703379402%1157700006199%125009, г. Москва, Переулок Никитский, д. 7, стр. 1, этаж 5, пом. I%(495) 974-03-25%www.npfalliance.ru%Да%Да
